Country/State,"Pays / État / Canton"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Ligne #%1 dupliquée (Pays ""%2"", Canton/Région ""%3"", code postal ""%4"" et valeur ""%5"")"
"Please correct Region/State ""%1"" in the Row #%2.","Veuillez corriger la région ou le canton ""%1"" à la ligne #%2."
"Please enter a valid region.","Veuillez renseigner une région ou un canton valide."
"Please select State/Province.","Veuillez choisir un état ou un canton."
"Please select a region, state or province.","Veuillez sélectionner une région ou un canton, une état ou une province."
"Please select region, state or province","Sélectionnez un département / canton"
Region/State,Région/Canton
"Region is invalid","Région/Canton invalide"
"Region is too long.","Région/Canton est trop long."
"Shipping Region","Région/Canton de livraison"
"Shipping State/Province","Région/Canton de livraison"
State,État/Canton
State/Province,État/Canton
State/Region,Région/Canton
"Wrong Region","Mauvais canton"
